target,horizon,model_family,model,model_label,representation,nominal_coverage,forecast_n,valid_interval_n,missing_or_invalid_interval_n,empirical_coverage,mean_interval_width,median_interval_width,coverage_direction,interval_method,undefined_reason,small_sample_flag
MTC,5,primary_neural,CNN_GRU,CNN_GRU,first_difference_direct,0.8,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,CNN_GRU,CNN_GRU,first_difference_direct,0.95,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,CNN_LSTM,CNN_LSTM,first_difference_direct,0.8,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,CNN_LSTM,CNN_LSTM,first_difference_direct,0.95,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,CausalCNN,CausalCNN,first_difference_direct,0.8,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,CausalCNN,CausalCNN,first_difference_direct,0.95,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,GRU,GRU,first_difference_direct,0.8,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,GRU,GRU,first_difference_direct,0.95,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,LSTM,LSTM,first_difference_direct,0.8,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,LSTM,LSTM,first_difference_direct,0.95,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,statistical,ARIMA,ARIMA,statistical_native,0.8,14,14,0,0.21428571428571427,0.007084998818863169,0.00557992393119644,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,5,statistical,ARIMA,ARIMA,statistical_native,0.95,14,14,0,0.5,0.010835570638611434,0.008533757232759065,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,5,statistical,Drift,Drift,statistical_native,0.8,14,14,0,0.8571428571428571,0.034921751930637956,0.03522522716947929,overcoverage,frozen statistical model-native or training-only empirical method,,
MTC,5,statistical,Drift,Drift,statistical_native,0.95,14,14,0,0.9285714285714286,0.03817164734747479,0.038423056072414585,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,5,statistical,ETS,ETS,statistical_native,0.8,14,14,0,0.0,0.0017437546594550085,0.0018029185955241722,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,5,statistical,ETS,ETS,statistical_native,0.95,14,14,0,0.0,0.001985452845084382,0.002026473047841648,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,5,statistical,LinearTrend,LinearTrend,statistical_native,0.8,14,14,0,0.0,0.036889549711064236,0.039704129768303176,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,5,statistical,LinearTrend,LinearTrend,statistical_native,0.95,14,14,0,0.5,0.05769747326172541,0.06209232351019711,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,5,statistical,Naive,Naive,statistical_native,0.8,14,14,0,0.0,0.036031054058716094,0.0372531091110897,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,5,statistical,Naive,Naive,statistical_native,0.95,14,14,0,0.0,0.0385144493351613,0.03927743108084902,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,5,statistical,Theta,Theta,statistical_native,0.8,14,14,0,0.0,0.008869999222865512,0.008860339290960084,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,5,statistical,Theta,Theta,statistical_native,0.95,14,14,0,0.0,0.013565493178050225,0.013550719587087201,undercoverage,frozen statistical model-native or training-only empirical method,,
