target,horizon,model_family,role,model,model_label,representation,lookback,seed,summary_type,expected_n,successful_n,failed_n,completeness_percent,ranking_eligible,rmse,mae,mase,rmsse,smape_percent,directional_accuracy_percent,mean_error,median_error,r_squared,undefined_reason
MTC,2,classical_ml,primary,SVR,SVR [first_difference_direct],first_difference_direct,3.0,20260810,individual_seed_or_deterministic_fit,17,17,0,100.0,True,0.0022748800294437157,0.0014056063498906594,0.10580220092030175,0.16270178968231575,0.03159820131200578,100.0,1.283794328548324e-05,0.00024037601537241216,0.9980076009150143,
MTC,2,classical_ml,primary,SVR,SVR [linear_detrend_direct],linear_detrend_direct,3.0,20260810,individual_seed_or_deterministic_fit,17,17,0,100.0,True,0.015770072730586098,0.01247027237515517,0.9481781571111773,1.1526891262945673,0.27930480997190554,100.0,-0.012118754871788262,-0.009831845817545037,0.9042526572797855,
MTC,2,classical_ml,primary,XGBoost,XGBoost [first_difference_direct],first_difference_direct,3.0,20260810,individual_seed_or_deterministic_fit,17,17,0,100.0,True,0.0024423438699560703,0.001983590263710239,0.15256067040413626,0.18208377121563327,0.04440843395004116,100.0,0.0009838279159446854,0.0009259891295396727,0.9977034655841573,
MTC,2,classical_ml,primary,XGBoost,XGBoost [linear_detrend_direct],linear_detrend_direct,3.0,20260810,individual_seed_or_deterministic_fit,17,17,0,100.0,True,0.018229161755322073,0.017147936937338012,1.3182406644590987,1.352033436045556,0.3825910150986134,100.0,-0.017147936937338012,-0.015164301379093637,0.8720640098846631,
MTC,2,neural_ablation,ablation,CNN_BiLSTM_Attention_Original23K,CNN_BiLSTM_Attention_Original23K,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,17,17,0,100.0,True,0.0032261427710997574,0.00266002171407569,0.20457044437694177,0.23992889876467124,0.05953722386789195,100.0,0.0007231076078183583,-0.0003221621350579795,0.9959929339315376,
MTC,2,neural_ablation,ablation,CNN_BiLSTM_Compact_NoAttention,CNN_BiLSTM_Compact_NoAttention,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,17,17,0,100.0,True,0.002966292709580835,0.002163932399528664,0.1653238769856546,0.21638649902204876,0.04843102501594193,100.0,-0.0007792792495101629,-0.0004829060186244405,0.9966124372706984,
MTC,2,primary_neural,primary,BiLSTM,BiLSTM,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,17,17,0,100.0,True,0.005135269058920647,0.0044666925736267515,0.344211709817757,0.38188521834529654,0.09963990471505382,100.0,-0.0044666925736267515,-0.0040064324077278,0.9898472020489428,
MTC,2,primary_neural,primary,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Compact,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,17,17,0,100.0,True,0.0030642857205603483,0.0023349315063659172,0.1785413705257762,0.223843084016957,0.052250897821754176,100.0,-0.0007921823718970825,-0.0007184328394851391,0.996384920502808,
MTC,2,primary_neural,primary,CNN_GRU,CNN_GRU,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,17,17,0,100.0,True,0.002780896680857671,0.0021239590235020162,0.16276464777572391,0.20449728373076362,0.04755284493692875,100.0,-9.198918505462343e-06,-0.00041154983434665837,0.9970226558000236,
MTC,2,primary_neural,primary,CNN_LSTM,CNN_LSTM,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,17,17,0,100.0,True,0.0029289511333612395,0.0022701431101780946,0.1740410956225749,0.2158936481217498,0.05082379699019091,100.0,0.00010842663243066146,-0.0003900847078828207,0.9966971900124606,
MTC,2,primary_neural,primary,CausalCNN,CausalCNN,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,17,17,0,100.0,True,0.0026031220623868104,0.0022943983179862988,0.17746861780936013,0.19538830914559013,0.05125484318132104,100.0,0.0004309506494549688,-0.0009298601890979086,0.9973911542417089,
MTC,2,primary_neural,primary,GRU,GRU,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,17,17,0,100.0,True,0.002770570046402441,0.0021828378472009626,0.16722338053722322,0.20541219275342898,0.048937392723568805,100.0,0.0007778785729131285,-0.000261751791689413,0.9970447269967881,
MTC,2,primary_neural,primary,LSTM,LSTM,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,17,17,0,100.0,True,0.002811462662532999,0.002119555247264384,0.1624123761288947,0.20693502815755507,0.04746367585720995,100.0,0.00014994642540782873,-0.00029786528328212825,0.9969568456690078,
MTC,2,statistical,primary,ARIMA,ARIMA,statistical_native,,20260810,individual_seed_or_deterministic_fit,17,17,0,100.0,True,0.001478559381984014,0.0011662933559792212,0.09024330089062665,0.11096361993577489,0.02602121652761811,100.0,-0.0006286221373739393,-0.0007080861316515197,0.9991583396274225,
MTC,2,statistical,primary,Drift,Drift,statistical_native,,20260810,individual_seed_or_deterministic_fit,17,17,0,100.0,True,0.006363552589859405,0.005832597770159849,0.4504271591572288,0.4758421602765022,0.1300366812788521,100.0,-0.005832597770159849,-0.005460203531161056,0.9844095513769787,
MTC,2,statistical,primary,ETS,ETS,statistical_native,,20260810,individual_seed_or_deterministic_fit,17,17,0,100.0,True,0.0015528864498756487,0.001340016975801733,0.10385183280892703,0.11627415222619057,0.029917892441702496,100.0,2.1522090397851912e-05,-0.0007858937174543001,0.9990715922906532,
MTC,2,statistical,primary,LinearTrend,LinearTrend,statistical_native,,20260810,individual_seed_or_deterministic_fit,17,17,0,100.0,True,0.02476168746748763,0.02440189997192445,1.8856506849081214,1.8564708647566426,0.5432249128858194,100.0,-0.02440189997192445,-0.02257528761184968,0.7639414077434113,
MTC,2,statistical,primary,Naive,Naive,statistical_native,,20260810,individual_seed_or_deterministic_fit,17,17,0,100.0,True,0.02011423096239998,0.01997304916362473,1.549572840842772,1.5195965331898784,0.446387728986339,0.0,0.01997304916362473,0.020277765818830673,0.8442363187640642,
MTC,2,statistical,primary,Theta,Theta,statistical_native,,20260810,individual_seed_or_deterministic_fit,17,17,0,100.0,True,0.007484128300747643,0.007053520883338373,0.549094792576933,0.566927171630964,0.15730648683702678,100.0,0.007053520883338373,0.0074155783109661755,0.9784353812082894,
